id,"name","image","genre","author",stock,"borrow_date","return_date","created_at","updated_at"
1,"俺か俺以外か","https://images-na.ssl-images-amazon.com/images/I/81d-TdJS1CL.jpg","ビジネス","ローランド",1,"2020-10-31","2020-11-01","2020-10-31 07:57:22","2020-10-31 07:57:22"
2,"ゼロ秒思考","https://images-na.ssl-images-amazon.com/images/I/41mFGNSxZvL._SX343_BO1,204,203,200_.jpg","ビジネス","赤羽 雄二",1,"2020-10-31","2020-11-01","2020-10-31 07:58:31","2020-10-31 07:58:31"
3,"オペレーションシステムの基礎","https://images-na.ssl-images-amazon.com/images/I/71vYk-5NdmL.jpg","プログラミング","大久保英嗣",NULL,NULL,NULL,"2020-11-03 11:47:25","2020-11-03 11:47:25"
4,"入社1年目の教科書","https://images-na.ssl-images-amazon.com/images/I/81Qz7xwq7jL.jpg","ビジネス","岩瀬大輔",NULL,NULL,NULL,"2020-11-03 11:47:58","2020-11-03 11:47:58"
5,"モチベーション3.0","https://images-na.ssl-images-amazon.com/images/I/412tzq2vpML._AC_SY400_.jpg","ビジネス","大前研一",NULL,NULL,NULL,"2020-11-03 11:49:08","2020-11-03 11:49:08"
6,"1分で話せ","https://www.ehonnavi.net/img/cover/500/500_Ehon_132190.jpg","ビジネス","伊藤羊一",NULL,NULL,NULL,"2020-11-03 11:49:43","2020-11-03 11:49:43"
7,"ライフコーチ - 自分を強く育てる習慣","https://images-na.ssl-images-amazon.com/images/I/61IGBWjZ+3L.jpg","ビジネス","林 忠之",NULL,NULL,NULL,"2020-11-03 11:50:50","2020-11-03 11:50:50"
8,"真実の瞬間","https://inoueroumu.cocolog-nifty.com/.shared/image.html?/photos/uncategorized/2010/11/12/img307_2.jpg","ビジネス","堤 猶二",NULL,NULL,NULL,"2020-11-03 11:51:39","2020-11-03 11:51:39"
9,"一瞬で「自分の答え」を知る法","https://images-na.ssl-images-amazon.com/images/I/51WmGcZMbrL._SX338_BO1,204,203,200_.jpg","ビジネス","本田 健",NULL,NULL,NULL,"2020-11-03 11:52:48","2020-11-03 11:52:48"
10,"スラスラわかるPHP","https://rimg.bookwalker.jp/6535891/frDGCemG5kX9EBY8IrbThQ__.jpg","プログラミング","志田 仁美",NULL,NULL,NULL,"2020-11-03 11:54:33","2020-11-03 11:54:33"
